carat,depth,price,x,y,z,class
0.3,61.7,570,4.28,4.31,2.65,1
0.3,61.7,570,4.32,4.34,2.67,3
0.3,61,570,4.35,4.37,2.66,3
0.3,61,570,4.33,4.36,2.65,3
0.3,61,570,4.3,4.22,2.6,3
0.3,61.3,570,4.32,4.36,2.66,3
0.3,62.6,570,4.29,4.34,2.7,3
0.23,61.3,571,3.99,3.94,2.43,3
0.36,59.7,571,4.65,4.69,2.79,2
0.74,62.2,3454,5.79,5.81,3.61,2
0.78,61.4,3454,5.91,5.94,3.64,2
0.7,61.8,3454,5.7,5.72,3.53,2
0.96,56.7,3454,6.51,6.39,3.66,2
1.02,60.4,3455,6.47,6.52,3.92,1
1.02,61.4,3455,6.5,6.44,3.97,3
0.9,62.3,3455,6.12,6.15,3.82,2
1.02,62.3,3455,6.42,6.37,3.98,1
0.75,62.4,3456,5.83,5.8,3.63,2
0.86,62.3,3456,6.13,6.07,3.8,1
0.94,62.4,3456,6.23,6.17,3.87,3
0.71,62.1,3457,5.69,5.75,3.55,3
0.9,61.1,3457,6.29,6.27,3.84,3
1.05,60.9,3457,6.59,6.51,3.99,3
0.9,63.1,3457,6.13,6.11,3.86,3
0.9,63.1,3457,6.18,6.12,3.88,3
0.9,61.6,3457,6.23,6.15,3.81,3
1.5,60.1,3457,7.4,7.28,4.42,2
1.04,62.8,3459,6.44,6.5,4.06,3
1.02,61.2,3459,6.47,6.5,3.97,1
0.9,62.5,3459,6.15,6.08,3.82,3
0.73,60.9,3459,5.79,5.83,3.54,1
0.72,60,3459,5.92,5.84,3.53,2
0.82,63.3,3460,5.96,5.98,3.78,1
0.8,63.7,3460,5.87,5.9,3.75,3
1.03,62.6,3461,6.44,6.4,4.02,3
0.71,61.8,3461,5.71,5.77,3.55,3
1.01,65.1,3461,6.29,6.21,4.07,1
1.01,61.5,3461,6.51,6.44,3.98,1
1.06,62.7,3461,6.52,6.47,4.07,3
1.01,62.9,3461,6.34,6.31,3.98,2
0.74,62.3,3461,5.79,5.77,3.6,2
1.01,64,3461,6.34,6.31,4.05,1
0.96,59.8,3462,6.42,6.39,3.83,2
0.74,61.1,3462,5.81,5.84,3.56,1
0.75,62,3462,5.83,5.88,3.66,1
1.01,63.5,3462,6.3,6.36,4.02,3
0.81,63.1,3462,5.91,5.94,3.74,2
0.74,62.2,3462,5.75,5.79,3.59,1
0.73,61.7,3463,5.82,5.76,3.57,3
0.91,62,3463,6.16,6.25,3.85,2
0.73,61.6,3463,5.8,5.82,3.57,2
0.7,60.4,3463,5.73,5.76,3.47,2
0.71,62.6,3464,5.68,5.76,3.58,1
0.71,61.6,3464,5.65,5.72,3.5,1
0.9,60.5,3464,6.22,6.24,3.77,2
0.73,61.6,3464,5.78,5.82,3.57,2
0.71,60.4,3464,5.75,5.81,3.49,1
0.71,59.4,3464,5.8,5.89,3.47,1
1,63.9,3465,6.26,6.3,4.01,2
1,62.1,3465,6.34,6.41,3.96,3
1,61.9,3465,6.33,6.36,3.93,3
0.56,61.9,3465,5.28,5.32,3.28,2
0.71,62.9,3465,5.65,5.7,3.57,2
0.9,63.4,3465,6.06,6.09,3.85,3
0.72,62.5,3465,5.73,5.76,3.59,1
0.9,65.9,3465,5.98,6.01,3.95,3
0.9,64.4,3465,6.04,6.08,3.9,2
1.25,60.5,3465,6.91,6.82,4.15,2
1.03,63.9,3466,6.33,6.37,4.06,1
0.73,59,3466,5.88,5.92,3.48,1
0.73,61.4,3467,5.81,5.78,3.56,2
0.9,61.3,3468,6.18,6.22,3.8,3
0.55,60.8,3468,5.29,5.32,3.23,2
0.55,61.5,3468,5.26,5.28,3.24,2
0.55,60.8,3468,5.31,5.34,3.24,2
0.7,61,3468,5.74,5.79,3.52,3
0.77,61.3,3468,5.91,5.97,3.64,2
0.9,62.1,3468,6.2,6.17,3.84,2
1.11,62.5,3469,6.63,6.55,4.12,2
0.73,61.7,3470,5.75,5.78,3.55,1
0.9,57.9,3470,6.23,6.35,3.64,3
0.7,62.5,3471,5.62,5.67,3.53,2
0.8,62.1,3471,5.86,5.92,3.66,3
0.8,63.6,3471,5.83,5.94,3.74,3
0.73,61.4,3471,5.8,5.82,3.57,1
0.7,61.6,3471,5.69,5.74,3.52,2
0.7,61.8,3471,5.72,5.74,3.54,2
0.73,60.8,3471,5.77,5.8,3.52,1
0.7,62.1,3472,5.7,5.66,3.53,1
1,61,3472,6.42,6.36,3.9,2
1,58.5,3472,6.47,6.42,3.77,2
0.88,63.2,3472,6.08,6.15,3.87,2
0.78,61.5,3472,5.92,5.97,3.66,1
1,63.7,3472,6.28,6.15,3.96,2
1,59,3472,6.62,6.5,3.87,2
1,66.1,3472,6.18,6.13,4.07,2
0.9,60.3,3473,6.22,6.12,3.72,2
0.9,60.3,3473,6.14,6.1,3.69,2
0.9,64.9,3473,6.03,5.98,3.9,2
0.9,63,3473,6.16,6.12,3.87,2
0.9,64.5,3473,6.1,6,3.9,2
0.9,63.1,3473,6.12,6.09,3.85,2
0.78,63,3473,5.86,5.8,3.67,2
0.91,60.9,3475,6.22,6.26,3.8,2
0.72,60.9,3475,5.78,5.84,3.54,2
0.84,61.7,3475,6.07,6.11,3.76,2
0.74,59.8,3476,5.9,5.94,3.54,2
0.7,61.6,3477,5.67,5.73,3.51,2
0.8,59,3477,6.03,6.04,3.56,3
1.01,64.8,3477,6.37,6.26,4.1,3
0.91,61.9,3478,6.11,6.16,3.8,3
0.7,61,3478,5.73,5.75,3.5,3
0.72,61.6,3478,5.75,5.78,3.55,1
0.72,61.3,3478,5.75,5.8,3.54,1
0.72,61.2,3478,5.76,5.79,3.53,1
0.72,61.7,3478,5.75,5.78,3.56,1
0.72,61.4,3478,5.75,5.79,3.55,1
0.72,61.8,3478,5.74,5.76,3.55,1
0.72,60.3,3478,5.82,5.86,3.52,1
0.72,61.5,3478,5.74,5.79,3.54,1
0.72,61,3478,5.81,5.83,3.55,1
0.72,60.4,3478,5.81,5.84,3.52,1
0.86,60,3478,6.22,6.24,3.74,1
0.9,62.4,3478,6.17,6.13,3.84,1
0.9,60.3,3478,6.33,6.25,3.79,1
0.9,61.6,3478,6.15,6.09,3.77,2
0.71,61.6,3479,5.78,5.72,3.54,2
0.96,60.2,3480,6.3,6.36,3.81,2
1.13,62.7,3480,6.58,6.63,4.14,2
0.71,61.3,3480,5.76,5.78,3.53,3
0.9,61.2,3481,6.21,6.27,3.82,2
0.9,62.3,3481,6.15,6.17,3.84,2
0.81,62.3,3481,5.96,6,3.72,3
0.83,60.7,3482,6.06,6.09,3.69,1
0.9,63.7,3482,6.08,6.13,3.89,1
0.83,62.8,3482,5.97,6.01,3.76,3
1.01,64.4,3482,6.22,6.17,3.99,2
1.02,61.9,3483,6.37,6.42,3.96,3
0.9,63.2,3484,6.1,6.05,3.84,2
0.9,62.9,3484,6.09,6.05,3.82,2
0.9,63.5,3484,6.06,6.03,3.84,2
0.9,63.1,3484,6.04,6.1,3.83,2
1.01,64.2,3484,6.35,6.27,4.05,2
0.9,61.2,3484,6.2,6.15,3.78,2
1.01,61.5,3484,6.28,6.21,3.84,1
0.91,63.9,3485,6.08,6.13,3.9,2
0.98,62.3,3485,6.44,6.35,3.98,3
0.75,62.5,3486,5.84,5.78,3.63,1
0.74,62,3487,5.79,5.83,3.6,2
0.73,61.6,3487,5.77,5.82,3.57,1
0.77,59.4,3488,5.98,5.94,3.54,1
0.9,63.4,3489,6.07,6.1,3.86,2
0.9,63.4,3489,6.09,6.12,3.87,2
0.77,61.2,3489,5.86,5.91,3.6,2
0.77,63.1,3489,5.83,5.86,3.69,2
0.9,61.4,3489,6.16,6.21,3.8,1
0.91,63.1,3489,6.13,6.17,3.88,3
0.89,60.5,3489,6.22,6.17,3.75,2
0.92,62,3489,6.24,6.27,3.88,3
0.72,61.8,3489,5.72,5.77,3.55,3
0.9,62.7,3489,6.04,6.12,3.81,1
0.9,59.9,3492,6.22,6.27,3.74,1
0.73,61.5,3492,5.78,5.83,3.57,1
0.9,62.1,3492,6.1,6.18,3.81,2
0.72,62.2,3492,5.73,5.76,3.57,1
0.72,62.9,3493,5.67,5.71,3.58,2
0.73,61.4,3493,5.81,5.84,3.57,3
0.71,60.6,3494,5.76,5.79,3.5,3
0.8,63,3494,5.91,5.84,3.7,1
0.54,61.2,3494,5.25,5.27,3.22,2
0.8,62.1,3494,5.95,6,3.71,1
0.78,62.8,3494,5.86,5.79,3.66,1
0.72,61.3,3495,5.73,5.76,3.52,1
0.74,60.9,3495,5.85,5.88,3.57,1
0.72,61.3,3495,5.78,5.83,3.56,3
0.72,62.6,3495,5.7,5.73,3.58,2
0.83,60.2,3495,6.09,6.04,3.65,3
1.02,61.2,3496,6.58,6.43,3.98,3
1.02,61.8,3496,6.47,6.4,3.98,1
0.56,61.9,3496,5.32,5.28,3.28,2
0.91,63.5,3496,6.16,6.12,3.89,3
0.74,59.9,3497,5.89,5.93,3.54,1
0.81,62,3497,5.93,5.97,3.69,2
0.76,61.5,3497,5.84,5.86,3.6,1
0.74,60.8,3497,5.85,5.89,3.57,1
1.51,64,3497,7.29,7.17,4.63,1
0.74,62.2,3498,5.8,5.84,3.62,2
0.9,62.4,3498,6.15,6.18,3.85,3
0.91,62.1,3498,6.24,6.15,3.85,2
1.01,61.7,3499,6.4,6.44,3.96,3
1.01,61.8,3499,6.37,6.41,3.95,3
1.01,62.9,3499,6.35,6.37,4,3
0.62,61.9,3499,5.46,5.48,3.38,3
0.71,62,3499,5.7,5.65,3.52,3
0.9,63.3,3500,6.04,6.13,3.85,2
0.93,59.1,3500,6.36,6.27,3.73,2
0.9,62.4,3500,6.14,6.19,3.85,1
0.83,61.7,3500,6.04,6.08,3.74,3
0.9,65.9,3500,5.99,5.96,3.94,2
1.01,61.6,3501,6.48,6.44,3.98,2
0.7,61,3501,5.79,5.72,3.51,2
0.8,62.9,3502,5.89,5.94,3.72,2
0.72,62.2,3502,5.72,5.75,3.57,1
0.71,60.8,3502,5.75,5.78,3.5,2
0.71,61.8,3502,5.72,5.76,3.54,2
0.71,61.4,3502,5.78,5.82,3.56,2
0.8,62.1,3502,5.92,5.86,3.66,3
0.9,61.5,3503,6.16,6.19,3.8,2
0.85,62.8,3503,6.05,6.02,3.79,1
0.7,61.6,3504,5.71,5.76,3.53,3
0.71,61.5,3504,5.74,5.69,3.52,1
0.7,61,3504,5.74,5.78,3.52,1
0.7,61.3,3504,5.73,5.75,3.52,1
0.7,60.8,3504,5.74,5.78,3.5,1
1.52,64.9,3504,7.18,7.13,4.65,2
1.2,61.9,3505,6.82,6.85,4.23,2
0.9,61.9,3505,6.09,6,3.74,2
0.91,63.1,3506,6.11,6.16,3.87,1
0.83,58.4,3506,6.22,6.18,3.62,1
1.01,63.1,3507,6.36,6.31,4,1
1.01,62,3507,6.39,6.25,3.92,2
0.81,63.1,3507,5.92,5.96,3.75,1
1.01,61.8,3507,6.47,6.42,3.98,3
0.9,62.2,3507,6.08,6.04,3.77,3
0.9,61.5,3507,6.1,6.06,3.74,3
1.03,61.1,3507,6.54,6.51,3.99,3
1.19,60.2,3508,6.87,6.91,4.15,1
0.9,59,3508,6.34,6.3,3.73,1
0.9,63.5,3508,6.22,6.12,3.92,1
0.9,65.5,3508,6.06,6.03,3.96,1
0.55,58,3509,5.31,5.41,3.12,2
0.73,61.1,3509,5.85,5.81,3.56,2
0.9,63.8,3510,6.09,6.17,3.91,1
1.15,61.2,3510,6.74,6.8,4.14,1
0.9,62.9,3510,6.11,6.17,3.86,1
0.73,61.9,3510,5.78,5.81,3.59,1
0.73,63.4,3511,5.68,5.7,3.61,1
0.91,58.3,3511,6.4,6.33,3.71,2
1,62.2,3511,6.47,6.4,4,2
1,65.5,3511,6.26,6.21,4.08,2
1,65.5,3511,6.26,6.21,4.08,2
1.01,60.8,3512,6.36,6.4,3.88,1
1.04,61.6,3512,6.58,6.47,4.02,2
0.9,63.9,3512,6.1,6.07,3.89,1
0.9,63.2,3512,6.19,6.09,3.88,1
1.02,61.6,3513,6.4,6.35,3.93,3
0.82,62.1,3513,6.02,5.97,3.72,3
0.82,61.9,3514,5.96,5.99,3.7,3
0.8,62.5,3514,5.9,5.94,3.7,1
0.81,61.9,3514,5.92,5.97,3.68,2
1.06,58.4,3515,6.65,6.7,3.9,2
0.71,61.5,3516,5.74,5.77,3.54,3
0.71,61.8,3516,5.74,5.76,3.55,3
0.71,61.6,3516,5.74,5.77,3.54,3
0.71,62,3516,5.72,5.74,3.55,1
0.9,62,3516,6.19,6.17,3.83,2
0.76,63.4,3517,5.76,5.82,3.67,1
0.7,61.5,3517,5.69,5.73,3.51,2
0.74,61.8,3517,5.84,5.88,3.62,2
0.53,61.5,3517,5.27,5.21,3.22,2
0.94,62.4,3518,6.17,6.23,3.87,3
0.74,60.2,3518,5.87,5.92,3.55,1
0.71,60.9,3518,5.74,5.76,3.5,2
0.9,63.3,3519,6.07,6.13,3.86,2
0.9,60.3,3519,6.27,6.34,3.8,3
0.9,61.1,3519,6.27,6.29,3.84,3
0.9,61.4,3519,6.21,6.24,3.82,3
0.9,61.6,3519,6.15,6.23,3.81,3
0.9,63.1,3519,6.11,6.13,3.86,3
0.9,62.4,3519,6.12,6.16,3.83,3
0.9,62.3,3519,6.16,6.19,3.85,3
0.9,63.1,3519,6.12,6.18,3.88,3
0.79,62.9,3519,5.86,5.94,3.71,3
1.02,60.4,3519,6.52,6.47,3.92,1
1,61.8,3520,6.38,6.43,3.96,1
0.91,63.1,3520,6.04,6.14,3.84,1
0.91,63.8,3520,6,6.16,3.88,2
1.02,62.9,3521,6.45,6.37,4.03,2
0.9,62.5,3521,6.15,6.2,3.86,1
0.9,61.2,3521,6.24,6.28,3.83,1
0.93,60.9,3521,6.29,6.25,3.82,1
0.72,61.6,3522,5.73,5.8,3.55,2
0.96,56.6,3522,6.52,6.39,3.67,1
0.73,61.7,3524,5.76,5.82,3.57,3
0.7,60.3,3524,5.77,5.82,3.49,2
0.71,59.2,3524,5.84,5.85,3.46,2
1.11,59.5,3524,6.89,6.77,4.07,3
0.75,61.3,3525,5.85,5.89,3.59,1
0.73,61.7,3525,5.76,5.79,3.56,1
0.9,63.2,3526,6.1,6.15,3.87,1
0.71,60.5,3527,5.81,5.84,3.53,1
0.95,58.7,3527,6.43,6.37,3.76,1
1,62.4,3528,6.39,6.27,3.95,3
1,60.3,3528,6.51,6.45,3.91,1
0.82,62.1,3528,5.94,5.98,3.7,1
0.73,61.4,3528,5.78,5.81,3.56,2
1,63.9,3528,6.36,6.28,4.03,2
1,61.9,3528,6.36,6.33,3.93,3
1,63.9,3528,6.3,6.26,4.01,2
1.24,61.1,3528,6.91,6.86,4.21,1
1,62.1,3528,6.41,6.34,3.96,3
0.84,62.4,3528,6.04,5.98,3.75,1
1.05,60.6,3528,6.59,6.55,3.98,3
1.05,62,3528,6.54,6.5,4.04,2
0.92,60.7,3529,6.3,6.25,3.81,2
0.7,62.8,3529,5.65,5.69,3.56,2
1.03,65.7,3530,6.32,6.26,4.13,1
1.03,59.8,3530,6.64,6.58,3.95,2
1.03,65.2,3530,6.42,6.35,4.16,2
0.24,59.9,571,4.06,4.1,2.44,1
0.35,61.2,571,4.54,4.55,2.78,2
0.35,61.7,571,4.55,4.59,2.82,2
0.35,61.2,571,4.53,4.56,2.78,2
0.35,61.7,571,4.54,4.57,2.81,2
0.35,62.1,571,4.54,4.57,2.83,2
0.36,61.5,571,4.6,4.63,2.84,1
0.36,61.1,571,4.58,4.62,2.81,1
0.36,61.4,571,4.61,4.64,2.84,1
0.32,62.6,571,4.41,4.38,2.75,1
0.32,64.1,571,4.37,4.34,2.79,2
0.34,63.1,571,4.51,4.46,2.83,1
0.31,62,571,4.3,4.35,2.68,2
0.31,63.5,571,4.28,4.32,2.73,2
0.31,62.3,571,4.33,4.37,2.71,2
0.31,61.4,571,4.33,4.36,2.67,2
0.31,63.4,571,4.28,4.3,2.72,2
0.31,61.9,571,4.33,4.36,2.69,2
0.31,62.7,571,4.32,4.36,2.72,2
0.31,63,571,4.32,4.34,2.73,2
0.31,62,571,4.36,4.38,2.71,2
0.31,61.4,571,4.38,4.41,2.7,2
0.31,63.5,571,4.29,4.31,2.73,2
0.31,61.8,571,4.32,4.36,2.68,2
0.31,62.4,571,4.33,4.35,2.71,2
0.31,61.7,571,4.31,4.35,2.67,2
0.31,61.7,571,4.34,4.38,2.69,2
0.31,63.1,571,4.3,4.32,2.72,2
0.31,61.4,571,4.35,4.38,2.68,2
0.31,63.4,571,4.32,4.35,2.75,2
0.91,60,3531,6.27,6.32,3.78,1
0.78,60.4,3531,6,5.95,3.61,3
0.78,61.5,3531,5.94,5.9,3.64,3
0.78,62.3,3531,5.91,5.88,3.67,3
1.01,63.8,3532,6.31,6.36,4.04,3
0.77,61.8,3533,5.9,5.92,3.65,3
0.96,65.6,3533,6.11,6.15,4.02,1
0.9,60.3,3534,6.12,6.22,3.72,2
0.9,60.6,3534,6.14,6.2,3.74,2
0.9,63,3534,6.12,6.16,3.87,2
0.9,60.3,3534,6.1,6.14,3.69,2
0.78,63,3534,5.8,5.86,3.67,2
1.02,63.4,3534,6.36,6.42,4.05,3
1.02,62.6,3534,6.39,6.42,4.01,3
0.92,60.6,3534,6.34,6.25,3.81,3
0.9,62.1,3535,6.08,6.12,3.79,2
0.82,59.8,3535,6.13,6.18,3.68,1
0.84,62,3535,6.07,6.09,3.77,1
0.73,61.6,3535,5.8,5.83,3.58,1
0.7,62.2,3535,5.69,5.72,3.55,2
1.01,59.8,3535,6.47,6.43,3.86,3
0.7,60.6,3536,5.67,5.7,3.45,3
0.65,60.1,3536,5.61,5.65,3.38,1
0.7,61.2,3536,5.71,5.79,3.52,3
1,57.8,3536,6.54,6.58,3.79,3
0.92,64.5,3536,6.06,6.01,3.89,2
0.78,61.6,3537,5.9,5.92,3.64,3
0.74,62.1,3537,5.8,5.83,3.61,1
1.08,61.8,3537,6.56,6.58,4.06,3
0.9,62,3537,6.16,6.23,3.84,2
0.91,63.9,3538,6.03,6.09,3.87,1
0.9,64.8,3538,6.07,6.03,3.92,2
0.9,64,3538,6.14,6.11,3.92,2
0.9,64.6,3538,6.07,6,3.9,2
0.78,62.2,3538,5.9,5.86,3.66,1
0.81,62,3538,5.99,5.97,3.71,1
0.79,61.2,3539,6,5.96,3.66,1
0.79,62.7,3539,5.85,5.88,3.68,1
0.9,62.4,3539,6.16,6.22,3.86,2
0.9,62.4,3539,6.13,6.17,3.84,1
0.91,63.8,3539,6.04,6.09,3.87,3
0.93,63.4,3540,6.15,6.18,3.91,2
0.71,59.9,3540,5.8,5.83,3.48,2
0.72,62,3540,5.74,5.78,3.57,1
1.01,64.6,3540,6.19,6.25,4.2,3
0.64,61.8,3541,5.51,5.53,3.41,1
1,64.7,3541,6.24,6.19,4.02,1
1,58.1,3541,6.48,6.46,3.76,1
1.52,61.2,3541,7.43,7.35,4.52,2
1.13,62.2,3542,6.63,6.68,4.14,3
0.7,58.5,3543,5.83,5.87,3.42,1
0.75,61.9,3543,5.83,5.86,3.62,1
0.72,62,3543,5.73,5.76,3.56,2
1.06,62.1,3544,6.54,6.57,4.07,3
1.06,61.8,3544,6.55,6.58,4.06,3
0.81,62.6,3544,5.92,5.97,3.72,1
0.95,61,3544,6.29,6.37,3.86,2
0.86,61.4,3544,6.07,6.1,3.74,2
0.77,62.1,3544,5.84,5.88,3.64,1
0.81,62.3,3544,5.99,5.95,3.72,1
1.13,62.7,3544,6.63,6.58,4.14,2
0.71,61.9,3545,5.74,5.77,3.56,1
0.9,62.7,3545,6.14,6.2,3.87,2
0.9,62.4,3545,6.17,6.21,3.86,2
1.07,66.8,3545,6.34,6.26,4.21,1
0.92,58.8,3545,6.36,6.33,3.73,2
1.07,62.2,3545,6.56,6.49,4.06,1
1.01,63.9,3546,6.31,6.37,4.05,1
1.04,62.4,3546,6.4,6.49,4.02,2
0.91,58.9,3546,6.36,6.33,3.74,3
0.91,61,3546,6.24,6.21,3.8,3
1.01,66.4,3546,6.12,6.08,4.05,2
0.72,61,3547,5.81,5.83,3.55,1
1.07,62.3,3547,6.55,6.51,4.07,1
0.9,62.6,3548,6.16,6.07,3.83,2
0.72,61.7,3548,5.73,5.77,3.55,1
0.85,61.9,3548,6.08,6.1,3.77,2
0.96,60.1,3548,6.43,6.35,3.84,2
0.76,62.3,3549,5.79,5.84,3.62,1
1.09,61,3549,6.62,6.66,4.05,1
0.72,60,3550,5.81,5.86,3.5,1
0.72,60.5,3550,5.79,5.84,3.52,2
0.92,62.5,3550,6.24,6.2,3.89,2
0.75,61.1,3551,5.85,5.9,3.59,3
0.9,60.8,3552,6.25,6.28,3.81,3
0.71,61.6,3553,5.73,5.77,3.54,1
0.71,61.3,3553,5.76,5.79,3.54,1
0.9,60.7,3553,6.25,6.21,3.78,3
1.04,61.9,3553,6.51,6.45,4.02,2
1.03,61.6,3553,6.5,6.42,3.98,2
0.72,61.6,3554,5.8,5.73,3.55,2
0.92,62.4,3555,6.22,6.18,3.87,1
0.92,62,3555,6.27,6.21,3.87,2
0.75,62.5,3555,5.8,5.85,3.64,1
1.01,63.3,3555,6.34,6.42,4.04,3
0.92,59.4,3555,6.36,6.34,3.77,1
0.9,61.4,3556,6.19,6.13,3.78,3
0.9,61.3,3556,6.16,6.11,3.76,3
0.83,62.5,3556,6.08,6.02,3.78,2
0.9,63.4,3556,6.08,6.01,3.83,3
0.83,59.7,3556,6.14,6.12,3.66,2
0.73,60,3557,5.9,5.86,3.53,2
0.83,60.2,3557,6.04,6.09,3.65,3
0.91,62.7,3557,6.15,6.19,3.87,1
0.91,61.8,3557,6.21,6.24,3.85,1
0.88,61.6,3557,6.13,6.17,3.79,2
0.95,60.6,3558,6.4,6.34,3.86,3
0.8,63.6,3559,5.82,5.91,3.73,3
0.83,62.2,3560,6.01,6.03,3.74,3
0.79,62,3561,5.91,5.94,3.67,1
0.7,59.9,3561,5.69,5.73,3.42,2
0.93,62.5,3562,6.2,6.25,3.89,2
1,59.2,3562,6.59,6.51,3.87,3
1,61,3562,6.45,6.41,3.92,3
0.75,61.7,3562,5.85,5.82,3.6,2
0.93,63.5,3563,6.13,6.21,3.92,2
0.78,63.3,3563,5.84,5.89,3.71,3
1.01,63.1,3563,6.38,6.33,4.01,2
1.01,62.5,3563,6.41,6.36,3.99,3
1.01,63.4,3563,6.33,6.26,3.99,3
1.01,61.7,3563,6.44,6.4,3.96,3
1.01,61.8,3563,6.41,6.37,3.95,3
1.01,60.2,3563,6.49,6.43,3.89,3
0.78,61,3564,5.94,5.96,3.63,1
1.04,62.8,3564,6.47,6.42,4.05,1
0.72,61.8,3564,5.72,5.74,3.54,3
0.8,62.7,3564,5.88,5.92,3.7,2
1.04,66.1,3564,6.32,6.23,4.15,1
0.73,60.2,3565,5.81,5.85,3.51,1
0.72,62.9,3566,5.75,5.67,3.59,1
0.87,60.4,3566,6.19,6.23,3.75,1
0.73,60.2,3567,5.83,5.89,3.53,1
0.9,61.9,3567,6,6.09,3.74,2
0.7,61.2,3567,5.68,5.75,3.5,2
0.91,63.1,3567,6.2,6.13,3.89,2
0.9,61.7,3568,6.16,6.09,3.78,2
1,60,3568,6.47,6.42,3.87,1
0.72,61.7,3568,5.77,5.8,3.57,2
0.9,62.7,3569,6.1,6.18,3.85,3
0.9,62.4,3569,6.15,6.19,3.85,3
1,64,3569,6.24,6.29,4.01,2
0.97,62.4,3569,6.38,6.34,3.97,3
0.72,63.3,3570,5.69,5.75,3.62,2
0.9,63.5,3570,6.12,6.22,3.92,1
0.83,61.7,3570,6.02,6.07,3.73,2
0.6,61.6,3570,5.41,5.43,3.34,2
0.9,63.2,3570,6.15,6.09,3.87,2
1.2,61.9,3570,6.85,6.82,4.23,2
0.74,61.5,3572,5.79,5.82,3.57,1
1.19,60.2,3572,6.91,6.87,4.15,1
0.91,58.3,3573,6.33,6.4,3.71,2
1.16,62.1,3573,6.72,6.65,4.15,2
1.1,63.5,3573,6.55,6.53,4.15,2
0.9,63.2,3574,6.09,6.19,3.88,1
0.9,63.9,3574,6.07,6.1,3.89,1
0.91,62.4,3574,6.2,6.24,3.88,2
1.15,61.2,3574,6.8,6.74,4.14,1
1,59.1,3575,6.47,6.5,3.83,2
1,65.1,3575,6.3,6.23,4.08,1
0.93,62.8,3576,6.14,6.22,3.88,3
0.71,60.4,3576,5.77,5.82,3.5,2
0.76,61.8,3577,5.85,5.89,3.63,2
0.82,62.1,3577,5.98,6,3.72,1
0.9,59,3577,6.23,6.27,3.69,2
0.84,61.9,3577,6.03,6.05,3.74,1
1.01,60.8,3577,6.4,6.36,3.88,1
0.82,62.6,3577,5.97,5.91,3.72,1
0.9,62,3578,6.17,6.19,3.83,2
0.9,58.7,3578,6.3,6.28,3.69,2
0.8,61.1,3578,5.96,6.03,3.66,1
0.78,59.4,3578,6.02,6.07,3.59,1
0.71,61.1,3578,5.8,5.72,3.52,3
0.91,62.5,3579,6.13,6.19,3.85,2
0.91,62.7,3579,6.14,6.18,3.86,2
1.06,58.4,3579,6.7,6.65,3.9,2
0.9,58.8,3579,6.28,6.24,3.68,2
0.71,61.5,3580,5.7,5.75,3.52,1
0.9,62.3,3580,6.12,6.17,3.83,2
0.9,63.3,3580,6.1,6.06,3.85,2
