x,depth,price,x,y,z,class
1.71,60.9,1475,5.78,5.84,1.54,1
1.84,60.7,1475,6.07,6,1.76,1
1.74,59.8,1476,5.9,5.94,1.54,1
1.7,60.6,1477,5.67,5.71,1.5,1
1.8,59,1477,6.01,6.04,1.56,1
1,64.8,1477,6.17,6.16,4,1
1.9,60.9,1478,6,6.06,1.8,1
1.7,60,1478,5.71,5.75,1.5,1
1.71,60.6,1478,5.75,5.78,1.55,0
1.71,60.1,1478,5.75,5.8,1.54,0
1.71,60.1,1478,5.76,5.79,1.51,0
1.71,60.7,1478,5.75,5.78,1.56,0
1.71,60.4,1478,5.75,5.79,1.55,0
1.71,60.8,1478,5.74,5.76,1.55,0
1.71,60.1,1478,5.81,5.86,1.51,0
1.71,60.5,1478,5.74,5.79,1.54,0
1.71,60,1478,5.8,5.81,1.55,0
1.71,60.4,1478,5.8,5.84,1.51,0
1.86,60,1478,6.11,6.14,1.74,0
1.9,61.4,1478,6.07,6.01,1.84,0
1.9,60.1,1478,6.11,6.15,1.79,0
1.9,60.6,1478,6.05,6.09,1.77,1
1.7,60.6,1479,5.78,5.71,1.54,1
1.96,60.1,1480,6.1,6.16,1.8,1
1.11,61.7,1480,6.58,6.61,4.04,1
1.7,60.1,1480,5.76,5.78,1.51,1
1.9,60.1,1480,6.1,6.17,1.81,1
1.9,61.1,1480,6.05,6.07,1.84,1
1.8,61.1,1480,5.96,6,1.71,1
1.81,60.7,1481,6.06,6.09,1.69,0
1.9,61.7,1481,6.08,6.01,1.89,0
1.81,61.8,1481,5.97,6,1.76,1
1,64.4,1481,6.11,6.07,1.99,1
1.11,60.9,1481,6.17,6.41,1.96,1
1.9,61.1,1484,6,6.05,1.84,1
1.9,61.9,1484,6.09,6.05,1.81,1
1.9,61.5,1484,6.06,6.01,1.84,1
1.9,61,1484,6.04,6,1.81,1
1,64.1,1484,6.15,6.17,4.05,1
1.9,60.1,1484,6.1,6.05,1.78,1
1,60.5,1484,6.18,6.1,1.84,0
1.9,61.9,1485,6.08,6.01,1.9,1
1.98,61.1,1485,6.44,6.15,1.98,1
1.75,61.5,1486,5.84,5.78,1.61,0
1.74,61,1487,5.79,5.81,1.6,1
1.71,60.6,1487,5.77,5.81,1.57,0
1.77,59.4,1488,5.98,5.94,1.54,0
1.9,61.4,1489,6.07,6,1.86,1
1.9,61.4,1489,6.09,6.01,1.87,1
1.77,60.1,1489,5.86,5.9,1.6,1
1.77,61,1489,5.81,5.86,1.69,1
1.9,60.4,1489,6.06,6.1,1.8,0
1.9,61,1489,6.01,6.07,1.88,1
1.89,60.5,1489,6.11,6.07,1.75,1
1.91,61,1489,6.14,6.17,1.88,1
1.71,60.8,1489,5.71,5.77,1.55,1
1.9,61.7,1489,6.04,6.01,1.8,0
1.9,59.9,1491,6.11,6.17,1.74,0
1.71,60.5,1491,5.78,5.81,1.57,0
1.9,61,1491,6,6.08,1.8,1
1.71,61.1,1491,5.71,5.76,1.57,0
1.71,61.9,1491,5.67,5.7,1.58,1
1.71,60.4,1491,5.8,5.84,1.57,1
1.7,60.6,1494,5.76,5.79,1.5,1
1.8,61,1494,5.9,5.84,1.7,0
1.54,60.1,1494,5.15,5.17,1.11,1
1.8,61,1494,5.95,6,1.7,0
1.78,61.8,1494,5.86,5.79,1.66,0
1.71,60.1,1495,5.71,5.76,1.51,0
1.74,60.9,1495,5.85,5.88,1.57,0
1.71,60.1,1495,5.78,5.81,1.56,1
1.71,61.6,1495,5.7,5.71,1.58,1
1.81,60.1,1495,6.09,6.04,1.65,1
1.11,60.1,1496,6.58,6.41,1.98,1
1.11,60.8,1496,6.47,6.4,1.98,0
1.56,60.9,1496,5.11,5.18,1.18,1
1.9,61.5,1496,6.06,6.01,1.89,1
1.74,59.9,1497,5.89,5.91,1.54,0
1.8,61,1497,5.91,5.97,1.69,1
1.76,60.5,1497,5.84,5.86,1.6,0
1.74,60.8,1497,5.85,5.89,1.57,0
1.5,64,1497,7.19,7.07,4.61,0
1.74,61.1,1498,5.8,5.84,1.61,1
1.9,61.4,1498,6.05,6.08,1.85,1
1.9,61,1498,6.14,6.05,1.85,1
1,60.7,1499,6.4,6.44,1.96,1
1,60.8,1499,6.17,6.4,1.95,1
1,61.9,1499,6.15,6.17,4,1
1.61,60.9,1499,5.46,5.48,1.18,1
1.7,61,1499,5.7,5.65,1.51,1
1.9,61.1,1500,6.04,6.01,1.85,1
1.91,59,1500,6.16,6.17,1.71,1
1.9,61.4,1500,6.04,6.09,1.85,0
1.81,60.7,1500,6.04,6.08,1.74,1
1.9,65.9,1500,5.99,5.96,1.94,1
1,60.6,1500,6.48,6.44,1.98,1
1.7,60,1500,5.79,5.71,1.5,1
1.8,61.9,1501,5.89,5.94,1.71,1
1.71,61.1,1501,5.71,5.75,1.57,0
1.7,60.8,1501,5.75,5.78,1.5,1
1.7,60.8,1501,5.71,5.76,1.54,1
1.7,60.4,1501,5.78,5.81,1.56,1
1.8,61,1501,5.91,5.86,1.66,1
1.9,60.5,1501,6.06,6.09,1.8,1
1.85,61.8,1501,6.05,6.01,1.79,0
1.7,60.6,1504,5.7,5.76,1.51,1
1.7,60.5,1504,5.74,5.69,1.51,0
1.7,60,1504,5.74,5.78,1.51,0
1.7,60.1,1504,5.71,5.75,1.51,0
1.7,60.8,1504,5.74,5.78,1.5,0
1.51,64.9,1504,7.08,7.01,4.65,1
1.1,60.9,1505,6.81,6.85,4.11,1
1.9,60.9,1505,6.09,6,1.74,1
1.9,61,1506,6,6.06,1.87,0
1.81,58.4,1506,6.11,6.08,1.61,0
1,61,1507,6.16,6.1,4,0
1,61,1507,6.19,6.15,1.91,1
1.8,61,1507,5.91,5.96,1.75,0
1,60.8,1507,6.47,6.41,1.98,1
1.9,61.1,1507,6.08,6.04,1.77,1
1.9,60.5,1507,6,6.06,1.74,1
1.11,60,1507,6.54,6.5,1.99,1
1.19,60.1,1508,6.87,6.9,4.05,0
1.9,59,1508,6.14,6.1,1.71,0
1.9,61.5,1508,6.11,6.01,1.91,0
1.9,65.5,1508,6.06,6.01,1.96,0
1.55,58,1509,5.1,5.4,1.01,1
1.71,60,1509,5.85,5.8,1.56,1
1.9,61.8,1500,6.09,6.07,1.9,0
1.15,60.1,1500,6.74,6.8,4.04,0
1.9,61.9,1500,6,6.07,1.86,0
1.71,60.9,1500,5.78,5.8,1.59,0
1.71,61.4,1500,5.68,5.7,1.6,0
1.9,58.1,1500,6.4,6.11,1.7,1
1,61.1,1500,6.47,6.4,4,1
1,65.5,1500,6.16,6.1,4.08,1
1,65.5,1500,6.16,6.1,4.08,1
1,60.8,1501,6.16,6.4,1.88,0
1.14,60.6,1501,6.58,6.47,4.01,1
1.9,61.9,1501,6,6.07,1.89,0
1.9,61.1,1501,6.09,6.09,1.88,0
1.11,60.6,1501,6.4,6.15,1.91,1
1.81,61,1501,6.01,5.97,1.71,1
1.81,60.9,1504,5.96,5.99,1.7,1
1.8,61.5,1504,5.9,5.94,1.7,0
1.8,60.9,1504,5.91,5.97,1.68,1
1.16,58.4,1505,6.65,6.7,1.9,1
1.7,60.5,1506,5.74,5.77,1.54,1
1.7,60.8,1506,5.74,5.76,1.55,1
1.7,60.6,1506,5.74,5.77,1.54,1
1.7,61,1506,5.71,5.74,1.55,0
1.9,61,1506,6.09,6.07,1.81,1
1.76,61.4,1507,5.76,5.81,1.67,0
1.7,60.5,1507,5.69,5.71,1.5,1
1.74,60.8,1507,5.84,5.88,1.61,1
1.51,60.5,1507,5.17,5.1,1.11,1
1.94,61.4,1508,6.07,6.11,1.87,1
1.74,60.1,1508,5.87,5.91,1.55,0
1.7,60.9,1508,5.74,5.76,1.5,1
1.9,61.1,1509,6.07,6.01,1.86,1
1.9,60.1,1509,6.17,6.14,1.8,1
1.9,60,1509,6.17,6.19,1.84,1
1.9,60.4,1509,6.1,6.14,1.81,1
1.9,60.6,1509,6.05,6.11,1.8,1
1.9,61,1509,6,6.01,1.86,1
1.9,61.4,1509,6.01,6.06,1.81,1
1.9,61.1,1509,6.06,6.09,1.85,1
1.9,61,1509,6.01,6.08,1.88,1
1.79,61.9,1509,5.86,5.94,1.7,1
1.11,60.4,1509,6.51,6.47,1.91,0
1,60.8,1510,6.18,6.41,1.96,0
1.9,61,1510,6.04,6.04,1.84,0
1.9,61.8,1510,6,6.06,1.88,1
1.11,61.9,1510,6.45,6.17,4.01,1
1.9,61.5,1510,6.05,6.1,1.86,0
1.9,60.1,1510,6.14,6.18,1.81,0
1.91,60.9,1510,6.19,6.15,1.81,0
1.71,60.6,1511,5.71,5.8,1.55,1
1.96,56.6,1511,6.51,6.19,1.67,0
1.71,60.7,1514,5.76,5.81,1.57,1
1.7,60.1,1514,5.77,5.81,1.49,1
1.7,59.1,1514,5.84,5.85,1.46,1
1,59.5,1514,6.89,6.77,4.07,1
1.75,60.1,1515,5.85,5.89,1.59,0
1.71,60.7,1515,5.76,5.79,1.56,0
1.9,61.1,1516,6,6.05,1.87,0
1.7,60.5,1517,5.8,5.84,1.51,0
1.95,58.7,1517,6.41,6.17,1.76,0
1,61.4,1518,6.19,6.17,1.95,1
1,60.1,1518,6.5,6.45,1.9,0
1.81,61,1518,5.94,5.98,1.7,0
1.71,60.4,1518,5.78,5.8,1.56,1
1,61.9,1518,6.16,6.18,4.01,1
1,60.9,1518,6.16,6.11,1.91,1
1,61.9,1518,6.1,6.16,4,1
1.14,60,1518,6.9,6.86,4.1,0
1,61,1518,6.4,6.14,1.96,1
1.84,61.4,1518,6.04,5.98,1.75,0
1.15,60.6,1518,6.59,6.55,1.98,1
1.15,61,1518,6.54,6.5,4.04,1
1.91,60.7,1519,6.1,6.15,1.8,1
1.7,61.8,1519,5.65,5.69,1.56,1
1.11,65.7,1510,6.11,6.16,4.01,0
1.11,59.8,1510,6.64,6.58,1.95,1
1.11,65.1,1510,6.41,6.15,4.06,1
1.14,59.9,570,4.06,4,1.44,0
1.15,60.1,570,4.54,4.55,1.78,1
1.15,60.7,570,4.55,4.59,1.81,1
1.15,60.1,570,4.51,4.56,1.78,1
1.15,60.7,570,4.54,4.57,1.8,1
1.15,61,570,4.54,4.57,1.81,1
1.16,60.5,570,4.6,4.61,1.84,0
1.16,60,570,4.58,4.61,1.8,0
1.16,60.4,570,4.6,4.64,1.84,0
1.11,61.6,570,4.4,4.18,1.75,0
1.11,64,570,4.17,4.14,1.79,1
1.14,61,570,4.5,4.46,1.81,0
1.1,61,570,4.1,4.15,1.68,1
1.1,61.5,570,4.18,4.11,1.71,1
1.1,61.1,570,4.11,4.17,1.7,1
1.1,60.4,570,4.11,4.16,1.67,1
1.1,61.4,570,4.18,4.1,1.71,1
1.1,60.9,570,4.11,4.16,1.69,1
1.1,61.7,570,4.11,4.16,1.71,1
1.1,61,570,4.11,4.14,1.71,1
1.1,61,570,4.16,4.18,1.7,1
1.1,60.4,570,4.18,4.4,1.7,1
1.1,61.5,570,4.19,4.1,1.71,1
1.1,60.8,570,4.11,4.16,1.68,1
1.1,61.4,570,4.11,4.15,1.7,1
1.1,60.7,570,4.1,4.15,1.67,1
1.1,60.7,570,4.14,4.18,1.69,1
1.1,61,570,4.1,4.11,1.71,1
1.1,60.4,570,4.15,4.18,1.68,1
1.1,61.4,570,4.11,4.15,1.75,1
1.9,60,1510,6.17,6.11,1.78,0
1.78,60.4,1510,6,5.95,1.6,1
1.78,60.5,1510,5.94,5.9,1.64,1
1.78,61.1,1510,5.9,5.88,1.67,1
1,61.8,1511,6.1,6.16,4.04,1
1.77,60.8,1511,5.9,5.91,1.65,1
1.96,65.6,1511,6,6.05,4.01,0
1.9,60.1,1514,6.01,6.11,1.71,1
1.9,60.6,1514,6.04,6.1,1.74,1
1.9,61,1514,6.01,6.06,1.87,1
1.9,60.1,1514,6,6.04,1.69,1
1.78,61,1514,5.8,5.86,1.67,1
1.11,61.4,1514,6.16,6.41,4.05,1
1.11,61.6,1514,6.19,6.41,4,1
1.91,60.6,1514,6.14,6.15,1.8,1
1.9,61,1515,6.08,6.01,1.79,1
1.81,59.8,1515,6.01,6.08,1.68,0
1.84,61,1515,6.07,6.09,1.77,0
1.71,60.6,1515,5.8,5.81,1.58,0
1.7,61.1,1515,5.69,5.71,1.55,1
1,59.8,1515,6.47,6.41,1.86,1
1.7,60.6,1516,5.67,5.7,1.45,1
1.65,60,1516,5.6,5.65,1.18,0
1.7,60.1,1516,5.7,5.79,1.51,1
1,57.8,1516,6.54,6.58,1.79,1
1.91,64.5,1516,6.06,6,1.89,1
1.78,60.6,1517,5.9,5.91,1.64,1
1.74,61,1517,5.8,5.81,1.6,0
1.18,60.8,1517,6.56,6.58,4.06,1
1.9,61,1517,6.06,6.11,1.84,1
1.9,61.9,1518,6.01,6.09,1.87,0
1.9,64.8,1518,6.07,6.01,1.91,1
1.9,64,1518,6.04,6,1.91,1
1.9,64.6,1518,6.07,6,1.9,1
1.78,61.1,1518,5.9,5.86,1.66,0
1.8,61,1518,5.99,5.97,1.7,0
1.79,60.1,1519,6,5.96,1.66,0
1.79,61.7,1519,5.85,5.88,1.68,0
1.9,61.4,1519,6.06,6.11,1.86,1
1.9,61.4,1519,6.01,6.07,1.84,0
1.9,61.8,1519,6.04,6.09,1.87,1
1.91,61.4,1540,6.05,6.08,1.9,1
1.7,59.9,1540,5.8,5.81,1.48,1
1.71,61,1540,5.74,5.78,1.57,0
1,64.6,1540,6.09,6.15,4.1,1
1.64,60.8,1540,5.5,5.51,1.4,0
1,64.7,1540,6.14,6.09,4.01,0
1,58,1540,6.48,6.46,1.76,0
1.51,60.1,1540,7.41,7.15,4.51,1
1.11,61.1,1541,6.61,6.68,4.04,1
1.7,58.5,1541,5.81,5.87,1.41,0
1.75,60.9,1541,5.81,5.86,1.61,0
1.71,61,1541,5.71,5.76,1.56,1
1.16,61,1544,6.54,6.57,4.07,1
1.16,60.8,1544,6.55,6.58,4.06,1
1.8,61.6,1544,5.91,5.97,1.71,0
1.95,60,1544,6.19,6.17,1.86,1
1.86,60.4,1544,6.07,6,1.74,1
1.77,61,1544,5.84,5.88,1.64,0
1.8,61.1,1544,5.99,5.95,1.71,0
1.11,61.7,1544,6.61,6.58,4.04,1
1.7,60.9,1545,5.74,5.77,1.56,0
1.9,61.7,1545,6.04,6.1,1.87,1
1.9,61.4,1545,6.07,6.1,1.86,1
1.17,66.8,1545,6.14,6.16,4.1,0
1.91,58.8,1545,6.16,6.11,1.71,1
1.17,61.1,1545,6.56,6.49,4.06,0
1,61.9,1546,6.1,6.17,4.05,0
1.14,61.4,1546,6.4,6.49,4.01,1
1.9,58.9,1546,6.16,6.11,1.74,1
1.9,60,1546,6.14,6.1,1.8,1
1,66.4,1546,6.01,6.08,4.05,1
1.71,60,1547,5.8,5.81,1.55,0
1.17,61.1,1547,6.55,6.5,4.07,0
1.9,61.6,1548,6.06,6.07,1.81,1
1.71,60.7,1548,5.71,5.77,1.55,0
1.85,60.9,1548,6.08,6,1.77,1
1.96,60,1548,6.41,6.15,1.84,1
1.76,61.1,1549,5.79,5.84,1.61,0
1.19,60,1549,6.61,6.66,4.05,0
1.71,60,1550,5.8,5.86,1.5,0
1.71,60.5,1550,5.79,5.84,1.51,1
1.91,61.5,1550,6.14,6.1,1.89,1
1.75,60,1550,5.85,5.9,1.59,1
1.9,60.8,1551,6.15,6.18,1.8,1
1.7,60.6,1551,5.71,5.77,1.54,0
1.7,60.1,1551,5.76,5.79,1.54,0
1.9,60.7,1551,6.15,6.1,1.78,1
1.14,60.9,1551,6.5,6.45,4.01,1
1.11,60.6,1551,6.5,6.41,1.98,1
1.71,60.6,1554,5.8,5.71,1.55,1
1.91,61.4,1555,6.11,6.08,1.87,0
1.91,61,1555,6.17,6.1,1.87,1
1.75,61.5,1555,5.8,5.85,1.64,0
1,61.1,1555,6.14,6.41,4.04,1
1.91,59.4,1555,6.16,6.14,1.77,0
1.9,60.4,1556,6.09,6.01,1.78,1
1.9,60.1,1556,6.06,6,1.76,1
1.81,61.5,1556,6.08,6.01,1.78,1
1.9,61.4,1556,6.08,6,1.81,1
1.81,59.7,1556,6.04,6.01,1.66,1
1.71,60,1557,5.9,5.86,1.51,1
1.81,60.1,1557,6.04,6.09,1.65,1
1.9,61.7,1557,6.05,6.09,1.87,0
1.9,60.8,1557,6.1,6.14,1.85,0
1.88,60.6,1557,6.01,6.07,1.79,1
1.95,60.6,1558,6.4,6.14,1.86,1
1.8,61.6,1559,5.81,5.9,1.71,1
1.81,61.1,1560,6,6.01,1.74,1
1.79,61,1560,5.9,5.94,1.67,0
1.7,59.9,1560,5.69,5.71,1.41,1
1.91,61.5,1561,6.1,6.15,1.89,1
1,59.1,1561,6.59,6.5,1.87,1
1,60,1561,6.45,6.4,1.91,1
1.75,60.7,1561,5.85,5.81,1.6,1
1.91,61.5,1561,6.01,6.1,1.91,1
1.78,61.1,1561,5.84,5.89,1.7,1
1,61,1561,6.18,6.11,4,1
1,61.5,1561,6.4,6.16,1.99,1
1,61.4,1561,6.11,6.16,1.99,1
1,60.7,1561,6.44,6.4,1.96,1
1,60.8,1561,6.4,6.17,1.95,1
1,60.1,1561,6.49,6.41,1.89,1
1.78,60,1564,5.94,5.96,1.61,0
1.14,61.8,1564,6.47,6.41,4.05,0
1.71,60.8,1564,5.71,5.74,1.54,1
1.8,61.7,1564,5.88,5.91,1.7,1
1.14,66,1564,6.11,6.11,4.05,0
1.71,60.1,1565,5.8,5.85,1.5,0
1.71,61.9,1566,5.75,5.67,1.59,0
1.87,60.4,1566,6.09,6.11,1.75,0
1.71,60.1,1567,5.81,5.89,1.51,0
1.9,60.9,1567,6,6.09,1.74,1
1.7,60.1,1567,5.68,5.75,1.5,1
1.9,61,1567,6.1,6.01,1.89,1
1.9,60.7,1568,6.06,6.09,1.78,1
1,60,1568,6.47,6.41,1.87,0
1.71,60.7,1568,5.77,5.8,1.57,1
1.9,61.7,1569,6,6.08,1.85,1
1.9,61.4,1569,6.05,6.09,1.85,1
1,64,1569,6.14,6.19,4,1
1.97,61.4,1569,6.18,6.14,1.97,1
1.71,61.1,1570,5.69,5.75,1.61,1
1.9,61.5,1570,6.01,6.11,1.91,0
1.81,60.7,1570,6.01,6.07,1.71,1
1.6,60.6,1570,5.4,5.41,1.14,1
1.9,61.1,1570,6.05,6.09,1.87,1
1.1,60.9,1570,6.85,6.81,4.11,1
1.74,60.5,1571,5.79,5.81,1.57,0
1.19,60.1,1571,6.9,6.87,4.05,0
1.9,58.1,1571,6.11,6.4,1.7,1
1.16,61,1571,6.71,6.65,4.05,1
1,61.5,1571,6.55,6.51,4.05,1
1.9,61.1,1574,6.09,6.09,1.88,0
1.9,61.9,1574,6.07,6,1.89,0
1.9,61.4,1574,6.1,6.14,1.88,1
1.15,60.1,1574,6.8,6.74,4.04,0
1,59,1575,6.47,6.5,1.81,1
1,65,1575,6.1,6.11,4.08,0
1.91,61.8,1576,6.04,6.11,1.88,1
1.7,60.4,1576,5.77,5.81,1.5,1
1.76,60.8,1577,5.85,5.89,1.61,1
1.81,61,1577,5.98,6,1.71,0
1.9,59,1577,6.11,6.17,1.69,1
1.84,60.9,1577,6.01,6.05,1.74,0
1,60.8,1577,6.4,6.16,1.88,0
1.81,61.6,1577,5.97,5.9,1.71,0
1.9,61,1578,6.07,6.09,1.81,1
1.9,58.7,1578,6.1,6.18,1.69,1
1.8,60,1578,5.96,6.01,1.66,0
1.78,59.4,1578,6.01,6.07,1.59,0
1.7,60,1578,5.8,5.71,1.51,1
1.9,61.5,1579,6.01,6.09,1.85,1
1.9,61.7,1579,6.04,6.08,1.86,1
1.16,58.4,1579,6.7,6.65,1.9,1
1.9,58.8,1579,6.18,6.14,1.68,1
1.7,60.5,1580,5.7,5.75,1.51,0
1.9,61.1,1580,6.01,6.07,1.81,1
1.9,61.1,1580,6,6.06,1.85,1
1.9,61.1,1580,6.08,6.01,1.81,1
1,64.1,1580,6.17,6.1,4,1
1.9,60.6,1580,6.01,6.07,1.79,1
1.76,60.7,1580,5.87,5.9,1.61,1
1.9,59.9,1580,6.09,6.11,1.71,0
1.9,60.9,1580,6.08,6.14,1.78,0
1.78,61,1580,5.88,5.9,1.66,1
1.14,64,1580,6.18,6.11,4.07,1
1.8,61.1,1580,5.91,5.95,1.69,1
1.11,61.1,1580,6.47,6.41,4,1
1.78,60.4,1581,5.9,5.95,1.64,0
1.7,60.5,1581,5.75,5.77,1.54,1
